# scout01 구동감시 오탐 자력회복 건 — 후진 재시도로 9초 만에 해제 (10 Hz)
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
2378.185,10175.400,-59.8537,44.2537,92.008,-59.5414,44.2432,89.999,0.3122,-0.0105,-2.009
2378.467,10175.500,-59.8543,44.2712,92.008,-59.5414,44.2607,90.000,0.3129,-0.0105,-2.008
2378.752,10175.600,-59.8549,44.2886,92.008,-59.5414,44.2782,90.000,0.3135,-0.0104,-2.008
2379.043,10175.700,-59.8555,44.3061,92.008,-59.5414,44.2957,90.000,0.3141,-0.0104,-2.008
2379.340,10175.800,-59.8561,44.3236,92.009,-59.5414,44.3132,90.000,0.3147,-0.0104,-2.008
2379.666,10175.900,-59.8563,44.3299,91.748,-59.5414,44.3188,89.748,0.3149,-0.0111,-2.000
2379.954,10176.000,-59.8583,44.3292,89.827,-59.5414,44.3188,88.076,0.3169,-0.0104,-1.750
2380.257,10176.100,-59.8604,44.3268,88.158,-59.5414,44.3188,86.232,0.3190,-0.0080,-1.925
2380.537,10176.200,-59.8643,44.3258,86.452,-59.5414,44.3188,84.597,0.3229,-0.0070,-1.855
2380.821,10176.300,-59.8680,44.3264,85.011,-59.5414,44.3188,83.104,0.3266,-0.0076,-1.907
2381.125,10176.400,-59.8695,44.3275,83.483,-59.5414,44.3188,81.565,0.3280,-0.0087,-1.918
2381.431,10176.500,-59.8706,44.3270,81.861,-59.5414,44.3188,79.909,0.3292,-0.0082,-1.953
2381.711,10176.600,-59.8707,44.3262,80.582,-59.5414,44.3188,78.606,0.3293,-0.0074,-1.976
2382.013,10176.700,-59.8710,44.3240,79.846,-59.5414,44.3188,77.762,0.3295,-0.0052,-2.084
2382.314,10176.800,-59.8710,44.3213,79.172,-59.5414,44.3188,77.138,0.3295,-0.0025,-2.033
2382.620,10176.900,-59.8698,44.3182,78.257,-59.5414,44.3188,76.183,0.3283,0.0006,-2.074
2382.911,10177.000,-59.8696,44.3149,77.684,-59.5414,44.3188,75.583,0.3282,0.0039,-2.101
2383.219,10177.100,-59.8695,44.3115,77.091,-59.5414,44.3188,74.996,0.3280,0.0073,-2.095
2383.515,10177.200,-59.8692,44.3083,76.399,-59.5414,44.3188,74.326,0.3277,0.0105,-2.072
2383.810,10177.300,-59.8690,44.3058,75.763,-59.5414,44.3188,73.675,0.3276,0.0130,-2.087
2384.101,10177.400,-59.8709,44.3040,74.448,-59.5414,44.3188,72.661,0.3294,0.0148,-1.788
2384.417,10177.500,-59.8736,44.3046,72.755,-59.5414,44.3188,70.767,0.3322,0.0142,-1.989
2384.735,10177.600,-59.8744,44.3049,71.833,-59.5414,44.3188,69.887,0.3329,0.0139,-1.947
2385.010,10177.700,-59.8745,44.3048,70.858,-59.5414,44.3188,68.775,0.3330,0.0140,-2.083
2385.285,10177.800,-59.8745,44.3051,69.748,-59.5414,44.3188,67.957,0.3330,0.0137,-1.792
2385.559,10177.900,-59.8760,44.3055,67.780,-59.5414,44.3188,66.018,0.3345,0.0133,-1.762
2385.837,10178.000,-59.8790,44.3059,65.864,-59.5414,44.3188,64.080,0.3376,0.0129,-1.785
2386.112,10178.100,-59.8827,44.3063,64.046,-59.5414,44.3188,62.191,0.3413,0.0125,-1.856
2386.393,10178.200,-59.8854,44.3068,62.283,-59.5422,44.3194,60.210,0.3432,0.0126,-2.072
2386.670,10178.300,-59.8900,44.3072,60.446,-59.5414,44.3188,58.649,0.3485,0.0116,-1.798
